ло	G	лн	F	0	11	1	1	0.07407407407407407
ло	G	фД	B	5	11	0	0	0.07407407407407407
ло	G	гЗ	C	8	11	0	0	0.07407407407407407
ло	G	╪Щ	F	7	10	0	0	0.06637037037037037
ло	G	б╬	L	7	10	0	1	0.0
ло	G	╣Э	H	8	11	0	0	0.16666666666666669
ло	G	сУ	H	5	11	0	1	0.13793103448275862
ло	G	м╬	E	5	11	0	0	0.044444444444444446
ло	G	сФ	F	7	8	1	1	0.16666666666666669
ло	G	╡в	H	5	8	1	1	0.07407407407407407
ло	G	╩ю	H	7	10	0	1	0.07407407407407407
ло	G	пн	C	9	12	0	1	0.0429037037037037
ло	G	уЯ	E	9	13	0	1	0.18604651162790703
ло	G	Йщ	I	7	10	0	1	0.16666666666666669
ло	G	╥╠	E	7	16	0	0	0.126984126984127
ло	G	Ёё	C	8	12	0	0	0.07407407407407407
ло	G	уг	D	8	11	1	0	0.0963855421686747
ло	G	юО	A	7	12	0	0	0.07407407407407407
ло	G	╠Ё	D	6	10	0	0	0.2424242424242425
ло	G	рп	G	7	11	0	1	0.18604651162790703
ло	G	╤х	B	8	10	0	0	0.18604651162790703
ло	G	оЗ	D	3	11	0	1	0.16666666666666669
ло	G	ип	D	8	11	0	0	0.0963855421686747
ло	G	а╒	C	7	8	0	0	0.21052631578947373
ло	G	йг	A	8	14	0	0	0.10958904109589043
ло	G	╪╠	D	7	14	0	0	0.10256410256410257
ло	G	Ёи	A	10	13	0	0	0.126984126984127
ло	G	╧╙	G	5	13	0	1	0.14139534883720933
ло	G	ых	J	6	12	0	1	0.18604651162790703
ло	G	╫з	C	8	12	0	0	0.18604651162790703
ло	G	х╞	D	7	11	0	0	0.07407407407407407
ло	G	а╛	C	7	14	0	0	0.16666666666666669
ло	G	йж	A	7	11	0	0	0.07407407407407407
ло	G	в╠	H	7	9	0	1	0.11764705882352944
ло	G	оЖ	I	3	10	0	0	0.07407407407407407
ло	G	п╨	G	8	7	1	1	0.2424242424242425
ло	G	юд	F	6	10	1	1	0.1842424242424243
ло	G	се	D	4	11	0	1	0.07407407407407407
ло	G	вЬ	D	6	10	0	0	0.3478260869565218
ло	G	╩р	E	6	9	0	0	0.07407407407407407
ло	G	мВ	I	7	9	0	1	0.10958904109589043
ло	G	╪х	D	7	14	0	1	0.07407407407407407
ло	G	╠з	E	7	13	0	0	0.06637037037037037
ло	G	╫©	G	3	12	0	1	0.07407407407407407
ло	G	кй	H	7	9	0	0	0.21052631578947373
